Simu,DiasGain,DataInicio,DataFinal,InvIni,Saque,DrawdownPerct,DrawdownDate,RScontrato,MelhorDia,PiorDia,MelhorMes,PiorMes,MelhorMed10Dia,SQN,NroRobos,R2geral,AcertoGeral,MargemMin
N995550397,100,20231102,20241204,10800,3515,40,20240509,300,1699,-1476,5896,0,708,4.4,36,9.938,66.3,60
N995309297,100,20231005,20241204,5100,1423,32,20240514,300,930,-826,2518,-3,298,3.9,17,9.935,63,68
N697568297,100,20230928,20241204,5700,1763,39,20240515,300,1202,-1193,3494,-705,418,3.8,19,9.933,66,61
N020958297,100,20230925,20241204,5400,1768,40,20240515,300,1497,-1186,3728,-138,381,3.6,18,9.932,64.3,60
N258858297,100,20230924,20241204,5400,1771,40,20240515,300,1497,-1186,3728,-138,381,3.6,18,9.932,64.3,60
N341980397,100,20231113,20241204,9300,3157,49,20240515,300,1722,-1702,5673,0,679,4.1,31,9.932,63.7,51
N985030397,100,20231023,20241204,5100,1586,43,20240515,300,1148,-1065,2997,-34,324,3.6,17,9.931,66.5,57
N593958297,100,20230925,20241204,5400,1766,43,20240515,300,1493,-1193,3695,-347,403,3.5,18,9.929,65.7,57
N129268297,100,20230927,20241204,5700,1767,38,20240515,300,1507,-1186,3723,-612,408,3.7,19,9.927,64.1,62
N522628297,100,20230922,20241204,5400,1822,40,20240105,300,1613,-1188,4138,0,349,3.5,18,9.924,63.1,60
N632998297,100,20231002,20241204,5100,1646,42,20240515,300,1192,-1062,3497,-316,323,3.6,17,9.921,65.8,58
N551820397,100,20231022,20241204,5100,1376,36,20240515,300,859,-994,2927,-351,298,3.6,17,992,65.8,64
N710639297,100,20231010,20241204,4500,1423,32,20240105,300,1137,-820,2664,0,294,3.7,15,9.916,63.3,68
N234339297,100,20231008,20241204,4800,1330,38,20240514,300,1293,-879,2681,0,282,3.2,16,9.915,64.8,62
N763839297,100,20231012,20241204,4200,1423,41,20240515,300,1213,-835,2974,0,262,3.4,14,9.915,63.7,59
N049590397,100,20231114,20241204,9600,3301,45,20240515,300,1750,-1554,6041,0,685,4.1,32,9.915,62.4,55
N647798297,100,20231001,20241204,5400,1823,47,20240515,300,1323,-1201,3468,-562,442,3.4,18,991,65.4,53
N240209297,100,20231004,20241204,4800,1459,34,20240801,300,1289,-938,3335,0,308,3.4,16,9.909,65.2,66
N159539297,100,20231010,20241204,4500,1332,37,20240801,300,1155,-879,2623,0,298,3.5,15,9.907,67.6,63
N857439297,100,20231009,20241204,4500,1323,37,20240801,300,1155,-879,2623,0,298,3.4,15,9.907,67.4,63
N818199297,100,20231020,20241204,4500,1469,46,20240515,300,1227,-1013,3268,0,306,3.3,15,9.907,66.8,54
N326309297,100,20231005,20241204,5100,1265,36,20241014,300,936,-811,2571,-157,286,3.7,17,9.907,63,64
N680209297,100,20231004,20241204,4800,1260,41,20241014,300,837,-936,2905,-434,289,3.9,16,9.906,64.5,59
N508439297,100,20231009,20241204,4500,1417,39,20231103,300,1138,-765,2981,-743,300,3.4,15,9.906,63.4,61
N765009297,100,20231003,20241204,5100,1563,46,20240508,300,1091,-1066,3217,-343,334,3.5,17,9.903,66,54
N605050397,100,20231101,20241204,11400,3479,43,20240509,300,1940,-1849,7652,0,776,3.5,38,9.902,62.8,57
N135199297,100,20231019,20241204,4800,1615,41,20240515,300,875,-1060,3893,-70,338,3.9,16,9.897,61.8,59
N897479297,100,20231017,20241204,4800,1568,41,20240515,300,875,-1060,3928,-810,334,3.7,16,9.897,61.3,59
N657030397,100,20231023,20241204,5100,1746,49,20240515,300,1267,-1123,3593,-440,396,3.5,17,9.892,62.2,51
N848579297,100,20231017,20241204,4800,1655,49,20231106,300,1336,-976,3807,-1157,330,3.1,16,9.891,60.6,51
N876030397,100,20231023,20241204,5100,1358,39,20240515,300,1029,-997,2746,-659,311,3.4,17,9.889,62.9,61
N446009297,100,20231003,20241204,5100,1312,44,20241014,300,1009,-1015,2638,-645,336,3.8,17,9.888,62.5,56
N749199297,100,20231020,20241204,4500,1242,43,20240515,300,905,-999,2996,-500,302,3.5,15,9.884,66.1,57
N590820397,100,20231022,20241204,5100,1617,44,20240515,300,926,-1066,3706,-284,364,3.9,17,9.884,63.3,56
N903579297,100,20231017,20241204,4800,1319,36,20240515,300,874,-1047,3413,-419,294,3.5,16,9.881,63.1,64
N151589297,100,20231018,20241204,4500,1476,49,20240515,300,875,-1101,3893,-426,338,3.7,15,9.875,61.8,51
N723839297,100,20231012,20241204,4200,1097,39,20240801,300,927,-683,2545,-91,292,3.7,14,9.852,65.2,61
N052079297,100,20231016,20241204,4500,1212,45,20240515,300,862,-1086,3069,-333,265,3.2,15,9.849,63.1,55
N447869297,100,20231016,20241204,4500,1210,45,20240515,300,864,-1085,3090,-348,265,3.3,15,9.847,63.1,55
N835140397,100,20231030,20241204,10800,3184,41,20240509,300,1804,-1646,6563,-434,759,3.9,36,9.835,63,59
N192540397,100,20231030,20241204,10800,3182,41,20240509,300,1804,-1646,6563,-434,759,3.9,36,9.835,63,59
N574140397,100,20231030,20241204,10800,3184,41,20240509,300,1804,-1646,6563,-434,759,3.9,36,9.835,63,59
N583140397,100,20231029,20241204,10800,3183,41,20240509,300,1804,-1645,6588,-517,760,3.9,36,9.833,63,59
N374339297,100,20231008,20241204,4800,1137,45,20241014,300,895,-871,2741,-368,285,3.3,16,9.832,62,55
