Simu,DiasGain,DataInicio,DataFinal,InvIni,Saque,DrawdownPerct,DrawdownDate,RScontrato,MelhorDia,PiorDia,MelhorMes,PiorMes,MelhorMed10Dia,SQN,NroRobos,R2geral,AcertoGeral,MargemMin
N995550397,75,20231102,20241202,10800,3558,40,20240509,300,1699,-1476,5896,0,708,4.4,36,9.937,66.1,60
N731209297,75,20231004,20241129,4800,1584,34,20240606,300,1135,-886,3137,-37,344,3.6,16,9.936,64.5,66
N020958297,75,20230925,20241202,5400,1816,40,20240515,300,1497,-1186,3728,-138,381,3.6,18,9.931,64.1,60
N341980397,75,20231113,20241129,9300,3197,49,20240515,300,1722,-1702,5673,0,679,4.1,31,993,63.3,51
N646309297,75,20231005,20241129,5100,1543,33,20240515,300,1129,-930,3199,0,359,3.3,17,9.927,65,67
N129268297,75,20230927,20241129,5700,1836,38,20240515,300,1507,-1186,3723,-612,408,3.7,19,9.926,63.7,62
N351870397,75,20231109,20241129,12000,3757,36,20240509,300,2121,-1648,7589,0,867,4.1,40,9.924,63.9,64
N551820397,100,20231022,20241129,5100,1265,36,20240515,300,859,-994,2772,-351,298,3.6,17,9.922,65.5,64
N632998297,75,20231002,20241129,5100,1620,42,20240515,300,1192,-1062,3497,-316,323,3.6,17,9.918,65.4,58
N763839297,75,20231012,20241129,4200,1337,41,20240515,300,1213,-835,2974,0,262,3.3,14,9.918,63.3,59
N643260397,75,20231106,20241129,12000,3928,39,20240509,300,2084,-1657,6982,0,817,4.4,40,9.917,65.1,61
N710639297,75,20231010,20241129,4500,1362,32,20240105,300,1137,-820,2664,0,294,3.7,15,9.914,63.3,68
N818199297,62,20231020,20241128,4500,1340,46,20240515,300,951,-1013,3082,0,306,3.2,15,9.912,66.3,54
N049590397,100,20231114,20241129,9600,3295,45,20240515,300,1750,-1554,6041,0,685,4.2,32,9.912,62.4,55
N382070397,100,20231107,20241128,11700,3053,41,20240509,300,1901,-1715,5524,0,728,3.6,39,9.911,63.7,59
N680209297,75,20231004,20241129,4800,1307,41,20241014,300,837,-936,2905,-434,289,3.9,16,9.905,64.5,59
N326309297,100,20231005,20241129,5100,1271,36,20241014,300,936,-811,2571,-157,286,3.7,17,9.905,62.9,64
N205560397,100,20231106,20241128,12000,3087,47,20240514,300,2000,-1706,5575,-407,725,3.6,40,9.905,61.9,53
N159539297,75,20231010,20241129,4500,1289,37,20240801,300,1155,-879,2623,0,298,3.4,15,9.904,67.3,63
N508439297,100,20231009,20241129,4500,1343,39,20231103,300,1138,-765,2981,-743,300,3.4,15,9.904,63,61
N135199297,75,20231019,20241128,4800,1454,41,20240515,300,859,-1060,3681,-70,299,3.8,16,9.904,61.2,59
N897479297,75,20231017,20241128,4800,1401,41,20240515,300,859,-1060,3681,-810,299,3.6,16,9.903,60.8,59
N186009297,75,20231003,20241129,5100,1643,48,20240515,300,1280,-1139,3643,-245,406,3,17,9.899,64.2,52
N561870397,100,20231109,20241128,12000,3031,32,20240509,300,1913,-1683,6152,0,813,3.7,40,9.898,63.8,68
N807570397,100,20231108,20241129,11700,3005,32,20240514,300,1939,-1646,6260,-77,766,3.8,39,9.896,64.8,68
N285350397,75,20231101,20241129,11100,4116,34,20240815,300,2749,-2413,8588,0,790,3.4,37,9.895,62.4,66
N657030397,67,20231023,20241128,5100,1651,49,20240515,300,1267,-1123,3593,-440,396,3.4,17,9.894,61.7,51
N848579297,75,20231017,20241128,4800,1516,49,20231106,300,1336,-976,3648,-1157,330,3,16,9.894,60.1,51
N749199297,75,20231020,20241128,4500,1133,43,20240515,300,905,-999,2996,-500,302,3.4,15,9.889,65.6,57
N590820397,62,20231022,20241128,5100,1504,44,20240515,300,831,-1066,3706,-284,364,3.8,17,9.887,62.8,56
N871870397,67,20231109,20241128,12000,4309,42,20240819,300,3092,-2603,8890,-788,902,3.5,40,9.886,59.2,58
N903579297,75,20231017,20241128,4800,1194,36,20240515,300,874,-1047,3413,-419,294,3.4,16,9.885,62.6,64
N151589297,75,20231018,20241128,4500,1304,49,20240515,300,795,-1101,3225,-426,280,3.5,15,9.884,61.2,51
N116550397,75,20231102,20241129,10800,4135,43,20240823,300,2891,-2484,8549,-560,770,3.6,36,988,61.1,57
N773260397,75,20231106,20241128,12000,4477,44,20240819,300,3012,-2703,8646,-1146,894,3.7,40,9.879,60.8,56
N625560397,75,20231106,20241128,12000,4477,44,20240819,300,3012,-2703,8646,-1146,894,3.7,40,9.879,60.8,56
N306550397,100,20231102,20241128,10800,2746,34,20240509,300,1521,-1577,5930,-827,614,3.5,36,9.877,65.8,66
N513070397,67,20231107,20241128,11700,4422,46,20240819,300,3013,-2718,8561,-1126,857,3.7,39,9.877,60.3,54
N382780397,100,20231112,20241128,9900,2704,39,20240514,300,1996,-1517,5759,-437,681,3.3,33,9.873,62.7,61
N647570397,75,20231108,20241128,11700,4352,47,20240823,300,3049,-2625,9228,-1524,860,3.6,39,9.862,61.3,53
N052079297,75,20231016,20241128,4500,1079,45,20240515,300,862,-1086,2811,-333,265,3.1,15,9.853,62.6,55
N447869297,75,20231016,20241128,4500,1076,45,20240515,300,864,-1085,2824,-348,265,3.2,15,9.852,62.6,55
N125540397,62,20231030,20241128,10800,3694,43,20240823,300,2609,-2267,8757,-784,762,3.5,36,9.847,61,57
N516140397,70,20231030,20241128,10800,3694,43,20240823,300,2609,-2267,8757,-784,762,3.5,36,9.847,61,57
N741980397,100,20231113,20241128,9300,2488,38,20240514,300,1563,-1367,5691,-384,654,3.4,31,984,60.8,62
N089590397,100,20231114,20241129,9600,2452,38,20240509,300,1532,-1354,5327,0,633,3.6,32,9.835,62.7,62
N835140397,67,20231030,20241128,10800,3252,41,20240509,300,1725,-1646,6563,-434,759,3.9,36,9.829,62.9,59
N374339297,75,20231008,20241128,4800,1164,45,20241014,300,895,-871,2741,-368,285,3.2,16,9.828,61.8,55
N683931397,100,20231122,20241129,10800,3562,49,20240515,300,1691,-2269,6998,-1119,850,3.9,36,9.786,66.5,51
N908331397,100,20231121,20241128,10800,3584,49,20240515,300,1691,-2269,6998,-1119,850,3.9,36,9.783,66.5,51
N429331397,100,20231121,20241128,10800,2715,47,20240515,300,1635,-2121,6198,-2455,819,3.3,36,9.583,65.4,53
N014931397,80,20231122,20241128,10800,2595,49,20240515,300,1537,-2104,5914,-2326,796,3.3,36,9.545,64.5,51
