Simu,DiasGain,DataInicio,DataFinal,InvIni,Saque,DrawdownPerct,DrawdownDate,RScontrato,MelhorDia,PiorDia,MelhorMes,PiorMes,MelhorMed10Dia,SQN,NroRobos,R2geral,AcertoGeral,MargemMin
N561870397,75,20231109,20241202,12000,3031,32,20240509,300,1913,-1787,6152,0,813,3.6,40,0.99,63.7,68
N605050397,67,20231101,20241202,11400,3654,43,20240509,300,1940,-1849,7652,0,776,3.5,38,0.99,62.5,57
N897479297,100,20231017,20241202,4800,1401,41,20240515,300,875,-1060,3928,-810,299,3.7,16,0.99,61.1,59
N285350397,100,20231101,20241202,11100,4116,34,20240815,300,2749,-2413,8588,0,790,3.4,37,9.896,62.5,66
N145050397,100,20231101,20241202,11400,4147,33,20240509,300,2749,-2413,8872,0,801,3.4,38,9.894,61.8,67
N657030397,100,20231023,20241202,5100,1651,49,20240515,300,1267,-1123,3593,-440,396,3.4,17,9.893,62,51
N848579297,100,20231017,20241202,4800,1516,49,20231106,300,1336,-976,3807,-1157,330,3.1,16,9.893,60.4,51
N876030397,100,20231023,20241202,5100,1275,39,20240515,300,1029,-997,2746,-659,311,3.3,17,9.888,62.7,61
N871870397,67,20231109,20241202,12000,4309,42,20240819,300,3092,-2603,8890,-788,902,3.4,40,9.888,59.2,58
N749199297,100,20231020,20241202,4500,1133,43,20240515,300,905,-999,2996,-500,302,3.4,15,9.887,65.8,57
N446009297,100,20231003,20241202,5100,1366,44,20241014,300,1009,-1015,2638,-645,336,3.7,17,9.887,62.3,56
N590820397,100,20231022,20241202,5100,1504,44,20240515,300,926,-1066,3706,-284,364,3.9,17,9.886,63,56
N903579297,100,20231017,20241202,4800,1194,36,20240515,300,874,-1047,3413,-419,294,3.4,16,9.883,62.9,64
N625560397,67,20231106,20241202,12000,4477,44,20240819,300,3012,-2703,8646,-1146,894,3.7,40,9.882,60.7,56
N116550397,100,20231102,20241202,10800,4135,43,20240823,300,2891,-2484,8549,-560,770,3.6,36,9.881,61.3,57
N773260397,67,20231106,20241202,12000,4477,44,20240819,300,3012,-2703,8646,-1146,894,3.7,40,9.881,60.7,56
N151589297,100,20231018,20241202,4500,1304,49,20240515,300,875,-1101,3893,-426,280,3.6,15,988,61.5,51
N513070397,67,20231107,20241202,11700,4422,46,20240819,300,3013,-2718,8561,-1126,857,3.6,39,988,60.2,54
