Simu,DiasGain,DataInicio,DataFinal,InvIni,Saque,DrawdownPerct,DrawdownDate,RScontrato,MelhorDia,PiorDia,MelhorMes,PiorMes,MelhorMed10Dia,SQN,NroRobos,R2geral,AcertoGeral,MargemMin
N995550397,75,20231102,20241202,10800,3558,40,20240509,300,1699,-1476,5896,0,708,4.4,36,9.937,66.1,60
N731209297,75,20231004,20241202,4800,1584,34,20240606,300,1135,-886,3137,-37,344,3.6,16,9.937,64.6,66
N995309297,67,20231005,20241202,5100,1397,32,20240514,300,930,-826,2518,-3,298,3.9,17,9.934,62.7,68
N985030397,100,20231023,20241202,5100,1485,43,20240515,300,1148,-1065,2997,-34,324,3.6,17,9.932,66.3,57
N697568297,100,20230928,20241202,5700,1826,39,20240515,300,1202,-1193,3494,-705,418,3.8,19,9.932,65.8,61
N020958297,75,20230925,20241202,5400,1816,40,20240515,300,1497,-1186,3728,-138,381,3.6,18,9.931,64.1,60
N258858297,100,20230924,20241202,5400,1816,40,20240515,300,1497,-1186,3728,-138,381,3.6,18,9.931,64.1,60
N341980397,75,20231113,20241202,9300,3197,49,20240515,300,1722,-1702,5673,0,679,4.1,31,993,63.4,51
N593958297,100,20230925,20241202,5400,1819,43,20240515,300,1493,-1193,3695,-347,403,3.5,18,9.928,65.4,57
N735068297,100,20230926,20241202,5700,1829,38,20240515,300,1507,-1186,3723,-612,408,3.7,19,9.928,63.6,62
N646309297,100,20231005,20241202,5100,1543,33,20240515,300,1129,-930,3199,0,359,3.3,17,9.927,65.2,67
N129268297,100,20230927,20241202,5700,1836,38,20240515,300,1507,-1186,3723,-612,408,3.7,19,9.926,63.8,62
N462070397,67,20231107,20241202,11700,3875,40,20240509,300,2069,-1674,6523,0,801,4.2,39,9.923,65.4,60
N522628297,100,20230922,20241202,5400,1844,40,20240105,300,1613,-1188,4138,0,349,3.5,18,9.922,62.8,60
N551820397,100,20231022,20241202,5100,1265,36,20240515,300,859,-994,2927,-351,298,3.6,17,9.921,65.6,64
N632998297,100,20231002,20241202,5100,1620,42,20240515,300,1192,-1062,3497,-316,323,3.6,17,9.919,65.5,58
N574560397,67,20231106,20241202,12000,3926,39,20240509,300,2103,-1657,6982,0,818,4.4,40,9.919,64.8,61
N763839297,100,20231012,20241202,4200,1337,41,20240515,300,1213,-835,2974,0,262,3.3,14,9.917,63.5,59
N710639297,75,20231010,20241202,4500,1362,32,20240105,300,1137,-820,2664,0,294,3.7,15,9.915,63.4,68
N234339297,100,20231008,20241202,4800,1307,38,20240514,300,1293,-879,2681,0,282,3.1,16,9.913,64.6,62
N382070397,67,20231107,20241202,11700,3053,41,20240509,300,1901,-2715,5524,0,728,3.4,39,9.913,63.6,59
N818199297,100,20231020,20241202,4500,1340,46,20240515,300,1227,-1013,3268,0,306,3.2,15,991,66.5,54
N647798297,100,20231001,20241202,5400,1874,47,20240515,300,1323,-1201,3468,-562,442,3.4,18,9.909,65.2,53
N240209297,100,20231004,20241202,4800,1458,34,20240801,300,1289,-938,3335,0,308,3.3,16,9.907,64.9,66
N205560397,67,20231106,20241202,12000,3087,47,20240514,300,2000,-1710,5575,-407,725,3.5,40,9.907,61.9,53
N159539297,100,20231010,20241202,4500,1289,37,20240801,300,1155,-879,2623,0,298,3.4,15,9.905,67.4,63
N857439297,100,20231009,20241202,4500,1282,37,20240801,300,1155,-879,2623,0,298,3.3,15,9.905,67.1,63
N508439297,100,20231009,20241202,4500,1343,39,20231103,300,1138,-765,2981,-743,300,3.4,15,9.904,63.2,61
N265350397,67,20231101,20241202,11100,3627,44,20240509,300,1923,-1897,7579,0,759,3.5,37,9.902,63.2,56
N765009297,100,20231003,20241202,5100,1548,46,20240508,300,1091,-1066,3217,-343,334,3.4,17,9.901,65.7,54
N135199297,100,20231019,20241202,4800,1454,41,20240515,300,875,-1060,3893,-70,299,3.9,16,9.901,61.5,59
N186009297,100,20231003,20241202,5100,1643,48,20240515,300,1280,-1139,3643,-245,406,3,17,0.99,64.4,52
